source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds004636	sub-s061	ses-1	4	1	0	10373492604	15285280	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s061	ses-2	6	0	1	14987006196	0	n/a	n/a	n/a	n/a	anat,func
ds004636	sub-s130	ses-1	6	1	1	15057273169	13756499	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s130	ses-2	6	1	0	11037814395	14090034	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s144	ses-1	6	1	1	9604302309	13705106	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s172	ses-1	6	1	1	14896011493	16249359	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s172	ses-2	6	1	0	9653216893	16598417	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s192	ses-1	6	0	0	10999073842	0	n/a	n/a	n/a	n/a	fmap,func
ds004636	sub-s192	ses-2	6	1	1	10513789665	15631589	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s234	ses-1	6	1	1	13647668731	16804566	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s234	ses-2	6	1	0	11020326149	16828351	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s251	ses-1	6	1	1	12597121821	14857558	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s251	ses-2	6	1	0	9212537437	15841758	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s358	ses-1	6	1	1	10536881321	14312287	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s358	ses-2	6	1	0	11023605555	14209155	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s373	ses-1	6	1	1	10657453431	16447760	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s373	ses-2	6	1	1	11081706437	16685692	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s445	ses-1	4	1	1	7535777427	15667918	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s445	ses-2	6	0	0	14521810528	0	n/a	n/a	n/a	n/a	fmap,func
ds004636	sub-s445	ses-3	3	0	0	9720404204	0	n/a	n/a	n/a	n/a	fmap,func
ds004636	sub-s465	ses-1	6	1	1	13814826448	16497681	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s465	ses-2	6	1	0	11022284318	16432226	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s471	ses-1	6	1	0	13037544791	15375786	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s471	ses-2	6	0	0	14368090627	0	n/a	n/a	n/a	n/a	fmap,func
ds004636	sub-s483	ses-1	6	1	1	15017379749	15551708	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s483	ses-2	6	1	0	14025735940	15342792	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s491	ses-1	6	1	0	15429391134	14373216	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s491	ses-2	6	0	0	16153754739	0	n/a	n/a	n/a	n/a	fmap,func
ds004636	sub-s495	ses-1	6	1	0	14992344375	14756656	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s495	ses-2	6	0	1	15612119925	0	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s497	ses-1	6	1	0	15043265932	13528326	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s497	ses-2	6	1	1	14266319011	14968489	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s499	ses-1	6	1	0	14834069193	15460725	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s499	ses-2	6	0	0	13020596648	0	n/a	n/a	n/a	n/a	fmap,func
ds004636	sub-s512	ses-1	6	1	1	14977561015	14881956	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s512	ses-2	6	0	1	14162002605	0	n/a	n/a	n/a	n/a	anat,fmap,func
ds004636	sub-s513	ses-1	6	1	0	14038111400	14828202	n/a	n/a	n/a	n/a	anat,fmap,func
